,spot_x,spot_y,cell_count,Endothelium_percentage,Atrial cardiomyocytes_percentage,Cardiomyocytes_percentage,Epicardium_percentage,Fibroblast_percentage,Schwan progenitors_percentage,Smooth muscle cells_percentage,Ventricular cardiomyocytes_percentage,Cell_Num,New_X,New_Y
40,10540.069395097897,477.8666666666667,5,40.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,40,562.0,10.0
41,12127.782635369367,477.8666666666667,2,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,41,649.0,10.0
42,12445.325283423663,477.8666666666667,5,0.0,0.0,0.0,0.0,80.0,0.0,20.0,0.0,42,666.0,10.0
43,12762.867931477957,477.8666666666667,7,0.0,0.0,0.0,14.285714285714285,71.42857142857143,0.0,14.285714285714285,0.0,43,684.0,10.0
44,13080.41057953225,477.8666666666667,9,0.0,0.0,0.0,0.0,55.55555555555556,0.0,44.44444444444444,0.0,44,701.0,10.0
45,13397.953227586546,477.8666666666667,4,0.0,0.0,0.0,0.0,75.0,0.0,25.0,0.0,45,718.0,10.0
46,13715.49587564084,477.8666666666667,5,0.0,0.0,0.0,0.0,80.0,0.0,20.0,0.0,46,736.0,10.0
47,14033.038523695133,477.8666666666667,9,0.0,0.0,0.0,11.11111111111111,33.33333333333333,22.22222222222222,33.33333333333333,0.0,47,753.0,10.0
48,14350.581171749427,477.8666666666667,17,0.0,0.0,0.0,0.0,58.82352941176471,0.0,41.17647058823529,0.0,48,770.0,10.0
49,14668.123819803723,477.8666666666667,17,5.88235294117647,0.0,0.0,5.88235294117647,41.17647058823529,0.0,47.05882352941176,0.0,49,788.0,10.0
50,14985.666467858016,477.8666666666667,10,10.0,0.0,0.0,10.0,40.0,0.0,40.0,0.0,50,805.0,10.0
51,15303.20911591231,477.8666666666667,14,0.0,0.0,0.0,0.0,71.42857142857143,0.0,28.57142857142857,0.0,51,822.0,10.0
52,15620.751763966606,477.8666666666667,5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,52,840.0,10.0
53,855.0186294419218,661.2,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,53,34.0,20.0
54,1172.5612774962162,661.2,8,0.0,75.0,0.0,0.0,25.0,0.0,0.0,0.0,54,52.0,20.0
55,1490.1039255505104,661.2,6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,55,69.0,20.0
56,1807.6465736048046,661.2,8,0.0,87.5,0.0,0.0,12.5,0.0,0.0,0.0,56,86.0,20.0
57,2125.189221659099,661.2,4,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,57,103.0,20.0
58,2442.7318697133933,661.2,6,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,58,121.0,20.0
59,2760.2745177676875,661.2,15,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,59,138.0,20.0
60,3077.8171658219817,661.2,3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,60,155.0,20.0
61,3395.359813876276,661.2,5,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,61,173.0,20.0
62,3712.90246193057,661.2,14,0.0,0.0,0.0,85.71428571428571,14.285714285714285,0.0,0.0,0.0,62,190.0,20.0
63,4030.4451099848648,661.2,10,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,63,207.0,20.0
64,4347.9877580391585,661.2,8,12.5,50.0,0.0,25.0,12.5,0.0,0.0,0.0,64,225.0,20.0
65,4665.530406093453,661.2,7,14.285714285714285,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,65,242.0,20.0
66,4983.073054147747,661.2,7,14.285714285714285,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,66,259.0,20.0
67,5300.615702202042,661.2,5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,67,277.0,20.0
68,5618.158350256336,661.2,3,33.33333333333333,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,68,294.0,20.0
69,5935.70099831063,661.2,6,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,69,311.0,20.0
70,6253.243646364925,661.2,4,0.0,25.0,0.0,75.0,0.0,0.0,0.0,0.0,70,329.0,20.0
71,6570.786294419218,661.2,6,0.0,16.666666666666664,0.0,83.33333333333334,0.0,0.0,0.0,0.0,71,346.0,20.0
