,Endothelial cells,Epithelial cells,Fibroblasts,Lymphoid cells,Myeloid cells,Cell_Num,transformed_x,transformed_y,pred_cell_type
0,0.06542391149068004,0.45944801113177935,0.006855227025810288,0.21729098154649465,0.25098186880523576,3443715200455100055,10954.380002357924,13944.383428590158,Epithelial cells
1,1.2704469060285453e-05,0.9611355963578386,7.480005323641749e-06,0.024872008567628227,0.013972210600149077,3443715200455100057,10946.573800523649,13890.089022178228,Epithelial cells
2,0.0031889120475208322,0.8462500323175202,8.833965857064203e-05,0.13968941278742467,0.010783303188963644,3443715200455100058,10945.461033419826,13911.796937418008,Epithelial cells
3,0.001661762812971913,0.7728627601359876,0.00012905855561476043,0.18917008574735933,0.03617633274806641,3443715200455100060,10943.683311872985,13863.000799773361,Epithelial cells
4,0.0004791446852057541,0.9192905518425059,0.00033506530012720673,0.03391960665641506,0.04597563151574625,3443715200456100090,11010.086368964117,13640.624477003083,Epithelial cells
5,0.0024735501125760537,0.146454097894683,0.000493176668129467,0.005753106286966435,0.844826069037645,3443715200524100089,10790.315047558317,14839.711191986542,Myeloid cells
6,0.011131608894485704,0.31272816488215793,0.31369420133318926,0.007433833388548995,0.35501219150161806,3443715200525100068,10871.271794399941,14600.56160042516,Myeloid cells
7,0.009614711194396755,0.8675993791433376,0.0018356353872063169,0.10415804473598199,0.016792229539077302,3443715200525100071,10858.00852558422,14655.787500771465,Epithelial cells
8,2.86451403692015e-05,0.9453258205566316,0.0011318922153913074,0.02325565811760257,0.03025798397000528,3443715200525100078,10833.030394716872,14704.458757182882,Epithelial cells
9,0.017387807311780926,0.6949180753365033,0.00013327588877784952,0.2553635162974304,0.03219732516550747,3443715200525100081,10831.994769855144,14729.824605418651,Epithelial cells
10,0.004346985434290995,0.9687082599953927,0.00027460418133378714,0.015947251783373088,0.01072289860560959,3443715200525100082,10826.044062201252,14623.633829998373,Epithelial cells
11,0.0004116524266676769,0.9899326014346594,0.0020404300832453383,0.0037298060295551535,0.0038855100258724205,3443715200525100091,10766.939703638083,14600.089151701659,Epithelial cells
12,0.0006666533129729366,0.9905665287133045,7.04567919783229e-05,0.00665440293328156,0.002041958248462738,3443715200526100038,10883.664539856274,14489.44288676825,Epithelial cells
13,0.011535241594848996,0.8956387614042844,0.010036193294835929,0.07495618970242285,0.007833614003607646,3443715200526100041,10876.21571929597,14434.612885303404,Epithelial cells
14,0.0015542971109926626,0.9580798505966405,0.00014736519728936895,0.03557186433901752,0.004646622756059863,3443715200526100049,10838.7494495988,14469.564791995746,Epithelial cells
15,0.0038704262906260156,0.7900935624916392,0.0023200841013114246,0.0582305158733325,0.14548541124309095,3443715200526100052,10833.68938134005,14408.15431744976,Epithelial cells
16,0.00044654291226555023,0.9837549490274412,0.0001598117000520983,0.006594221289910868,0.00904447507033034,3443715200526100054,10820.700193928233,14414.637394087134,Epithelial cells
17,0.025273597604642952,0.7947598008211532,0.0120678066063321,0.06670152667158692,0.10119726829628493,3443715200526100056,10811.523373082851,14372.233707736632,Epithelial cells
18,5.836520333494716e-05,0.9897676190409931,4.4540583251342585e-05,0.008672627654593647,0.0014568475178268,3443715200526100067,10756.632950539108,14389.090322448246,Epithelial cells
19,0.00038953978713774496,0.9671126240056711,0.0011683388527412902,0.009285209663649303,0.022044287690800513,3443715200526100070,10758.691494978346,14447.461856114185,Epithelial cells
20,8.716778818305646e-05,0.9939596613714707,0.00036293546059474203,0.0040118771132845584,0.0015783582664669448,3443715200526100084,10850.349290632608,14376.674729568715,Epithelial cells
21,0.008643836467726203,0.8970443848723063,0.0027660282685955796,0.08821257257590984,0.0033331778154621675,3443715200526100085,10795.530553213384,14329.479830372558,Epithelial cells
22,0.1268250865024744,0.6800711068817109,0.017840790203323114,0.16152841534514834,0.013734601067343246,3443715200526100092,10799.144217745703,14348.672657347313,Epithelial cells
23,8.52218130778942e-05,0.9834604557005495,0.0003743573948926702,0.015818572535750187,0.00026139255572967993,3443715200527100015,10917.350547042852,14060.416794967065,Epithelial cells
24,0.00020620595731970533,0.9401837750349579,1.5683056143550505e-06,0.04143130377774882,0.018177146924359313,3443715200527100025,10884.227516648938,14036.672450181508,Epithelial cells
25,0.0007912779423823482,0.9940745001372198,0.00010282773663471335,0.0038935865623979443,0.001137807621365428,3443715200527100035,10858.809758028152,14090.656148510572,Epithelial cells
26,0.001835619703705488,0.9554347119724066,0.00011467682371442646,0.03877307312864342,0.003841918371530078,3443715200527100046,10813.922244191652,14083.675303711785,Epithelial cells
27,0.0012656846981673332,0.9505815067251744,0.00020212320040746096,0.03129254972439605,0.016658135651854682,3443715200527100052,10754.261926809098,14149.355526479007,Epithelial cells
28,0.0011752008957771655,0.7380641217175872,0.00032394463288338627,0.04224103322916721,0.2181956995245851,3443715200527100056,10713.967567597392,14110.0951127975,Epithelial cells
