,transformed_x,transformed_y,Cell_Num,Endothelial cells,Epithelial cells,Fibroblasts,Lymphoid cells,Myeloid cells
0,9558.469729836324,12844.606586472097,6c8df374-8566-4a60-b133-eab85bba713d,0,0,0,0,1
1,9827.055807533032,12850.522579372904,a2b8665d-1a3b-41c0-b377-cc7f0bc63f8d,0,0,1,0,0
2,9520.607375271149,12859.593768487479,0f4d11bf-16da-4ee0-8bea-a526858d607e,0,0,0,0,1
3,9727.272727272726,12858.213370143956,8a6f6e48-4604-4dae-8e92-47f2ed17b539,0,0,0,0,1
4,9819.16781699862,12870.439755472295,e390053d-e183-4619-9404-8cd19b907c0d,0,0,1,0,0
5,9842.831788601854,12870.045355945573,18906cfb-2603-493d-ad17-7b904e729a51,1,0,0,0,0
6,9920.134095839085,12866.890159731809,c099584e-e5b4-4fef-920d-3ce6a3dc16c6,1,0,0,0,0
7,9919.148097022284,12888.97653322816,440f6fb8-7ba3-4112-903d-f2b367a1570e,0,0,1,0,0
8,9752.317097219482,12892.328929205285,c6d3e9ca-abad-4ac6-8770-875694c44862,0,0,1,0,0
9,9357.917570498916,12890.554131335042,b7426d63-843b-4f77-87af-571446367e26,0,0,1,0,0
10,9462.236245316506,12898.047722342733,7b7c2908-b0f3-4f0d-85ef-dce25c01b65d,1,0,0,0,0
11,9840.070991914808,12897.061723525932,4f3842db-0623-4902-b054-a267ef6a5858,0,0,0,0,1
12,9529.284164859002,12901.202918556497,2473f27b-720e-4f89-95bc-ac9aea07ebd1,0,0,0,0,1
13,9190.692171169396,12902.1889173733,553779e4-e127-4c0c-a469-9eb3a0ce19df,1,0,0,0,0
14,9409.583908499311,12903.1749161901,8aadec9c-b01b-411b-9db5-0867cf6e19c4,0,0,1,0,0
15,9729.63912443305,12901.005718793138,65646fd0-3473-4fea-a9ea-a8bc732fb1da,0,0,1,0,0
16,9327.35160717807,12906.132912640505,56c49e6d-34bd-4e9e-8b91-6a5ca856cf71,0,0,1,0,0
17,9347.860382567542,12910.47130743443,4fcc778e-fcb7-496e-b73f-91f377a0ebd3,0,0,1,0,0
18,9446.657464011043,12910.07690790771,7898a356-16ff-4d44-9b92-0efef2ad11cb,0,0,1,0,0
19,9856.832971800433,12910.274107671072,08751762-f670-4eda-a08c-b9fd6b8c60d3,0,0,0,0,1
